question_id,question_title,question_body,question_vote
438012,STL __merge_without_buffer algorithm?,"
Where can I get a decent high-level description of the algorithm used in __merge_without_buffer() in the C++ STL?  I'm trying to reimplement this code in the D programming language, with some enhancements.  I can't seem to grok what it's doing at the algorithmic level from just reading the STL source code because there are too many low-level details obscuring it.  Also, I don't want to just blindly translate the code because then, if it didn't work I wouldn't know why, and I wouldn't be able to add my enhancements.
",3
372391,How to automatically sort a QTreeWidget column?,"
I'm using a QTreeWidget to display some simple items. I've set the list sortable by .setSortingEnabled(true) calling. In this way, the list is sorted only when the user press the title column, and not automatically whenever new item is inserted.
Is there a way to force the automatic sorting in a specified column without calling .sortItems(column) at every item insertion?
If it's possible, I would highlight the whole sorted column.  
",11
330186,"Safe To Modify std::pair<U, V>::first in vector of pairs?","
I'm currently working on a DNA database class and I currently associate each row in the database with both a match score (based on edit distance) and the actual DNA sequence itself, is it safe to modify first this way within an iteration loop?
The reason I am doing this is so that I can sort them by score later.  I have tried maps and received a compilation error about modifying first, but is there perhaps a better way than this to store all the information for sorting later?
",1
328955,How to use std::sort with a vector of structures and compare function?,"
Thanks for a solution in C,
now I would like to achieve this in C++ using std::sort and vector:
vector< pkt > wektor; filled up using push_back(); compare function:
What is to correct? How to use properly std::sort in that case?
",11
314492,Is there an easy way to sort an array of char*'s ? C++,"
I've got an array of char* in a file. 
The company I work for stores data in flat files.. Sometimes the data is sorted, but sometimes it's not. 
I'd like to sort the data in the files.
Now I could write the code to do this, from scratch. 
Is there an easier way? 
Of course an in-place sort would be the best option. I'm working on large files and have little RAM. But I'll consider all options. 
All strings are the same length. 
This is some sample data:
This would represent three records of length 28. The app knows the length. Each record ends with CRLF (\r\n), though it shouldn't matter for this sort. 
",4
274951,Chaining of ordering predicates (e.g. for std::sort),"
You can pass a function pointer, function object (or boost lambda) to std::sort to define a strict weak ordering of the elements of the container you want sorted.
However, sometimes (enough that I've hit this several times), you want to be able to chain ""primitive"" comparisons.
A trivial example would be if you were sorting a collection of objects that represent contact data. Sometimes you will want to sort by last name, first name, area code. Other times first name, last name - yet other times age, first name, area code... etc
Now, you can certainly write an additional function object for each case, but that violates the DRY principle - especially if each comparison is less trivial.
It seems like you should be able to write a hierarchy of comparison functions - the low level ones do the single, primitive, comparisons (e.g. first name < first name), then higher level ones call the lower level ones in succession (probably chaining with && to make use of short circuit evaluation) to generate the composite functions.
The trouble with this approach is that std::sort takes a binary predicate - the predicate can only return a bool. So if you're composing them you can't tell if a ""false"" indicates equality or greater than. You can make your lower level predicates return an int, with three states - but then you would have to wrap those in higher level predicates before they could be used with std::sort on their own.
In all, these are not insurmountable problems. It just seems harder than it should be - and certainly invites a helper library implementation.
Therefore, does anyone know of any pre-existing library (esp. if it's a std or boost library) that can help here - of have any other thoughts on the matter?
[Update]
As mentioned in some of the comments - I've gone ahead and written my own implementation of a class to manage this. It's fairly minimal, and probably has some issues with it in general. but on that basis, for anyone interested, the class is here:
http://pastebin.com/f52a85e4f
And some helper functions (to avoid the need to specify template args) is here:
http://pastebin.com/fa03d66e
",10
244487,How do I sort a CArray of a user defined type?,"
Is there a built-in way to sort a CArray in C++?
",6
236172,How do I sort a std::vector by the values of a different std::vector?,"
I have several std::vector, all of the same length. I want to sort one of these vectors, and apply the same transformation to all of the other vectors.  Is there a neat way of doing this? (preferably using the STL or Boost)?  Some of the vectors hold ints and some of them std::strings.
Pseudo code:
",49
218488,"Finding ""best matching key"" for a given key in a sorted STL container","
Problem
I have timestamped data, which I need to search based on the timestamp in order to get the one existing timestamp which matches my input timestamp the closest.
Preferably this should be solved with the STL. boost::* or stl::tr1::* (from VS9 with Featurepack) are also possible.
Example of timestamped data:
Approach with stl::vector, sort() and equal_range()
Since a map or set only allows me to find exact matches, I don't get any further using one of these.
So now I have a vector to which I append data as it is coming in. Before searching I use <algorithm>'s sort() and supply it with a custom comparison function.
After that I use <algorithm>'s equal_range() to find the two neighbors of a specified value x.
From these two values I check which one is closest to x and then I have my best match.

While this is not too complex, I wonder if there are more elegant solutions to this.
Maybe the STL already has an algorithm which does exactly that so I'm not re-inventing something here?
Update: Linear vs. binary search
I forgot to mention that I have quite a lot of data to handle so I don't want to have to search linearly.
The reason I am sorting a vector with sort() is because it has random access iterators which is not the case with a map. Using a map would not allow equal_range() to do a search with twice logarithmic complexity.
Am I correct?
",7
13473,How does one rank an array (sort) by value? *With a twist*,"
I would like to sort an array in ascending order using C/C++. The outcome is an array containing element indexes. Each index is corespondent to the element location in the sorted array.
Example
Edit: I am using shell sort procedure. The duplicate value indexes are arbitrarily chosen based on which duplicate values are first in the original array.
Update:
Despite my best efforts, I haven't been able to implement a sorting algorithm for an array of pointers. The current example won't compile.
Could someone please tell me what's wrong?
I'd very much appreciate some help!
",5
2710221,"Is there a sorted_vector class, which supports insert() etc.?","
Often, it is more efficient to use a sorted std::vector instead of a std::set. Does anyone know a library class sorted_vector, which basically has a similar interface to std::set, but inserts elements into the sorted vector (so that there are no duplicates), uses binary search to find elements, etc.?
I know it's not hard to write, but probably better not to waste time and use an existing implementation anyway.
Update: The reason to use a sorted vector instead of a set is: If you have hundreds of thousands of little sets that contain only 10 or so members each, it is more memory-efficient to just use sorted vectors instead.
",52
2699642,How should I compare pairs of pointers (for sort predicate),"
I have a STL container full of billions of the following objects
I need some function of the following form
Is there some trick I can use to very quickly compare pairs of pointers?
Edit 1: A clarification
In the end I just want to sort the list of pointer-pairs such that all of the duplicates are next to each other.  Assume that there is no clear method in SomeClass that can be used for this purpose---I only have pointer pairs, and I want to find all identical pairs (in parallel).  I thought a sort would do the trick, but if you can think of a better parallel method, let me know.
Edit 2: A clarification
Fixed my code (the arguments to the sort predicate were wrong--they should be pairs).
",0
2699443,C++ change sort method,"

Possible Duplicate:
C++ struct sorting 

Is it possible to sort a vector in C++ according to a specified sorting method, like used in Java's Collections.sort that takes a Comparator?
",1
2699060,How can I sort an STL map by value?,"
How can I implement STL map sorting by value?
For example, I have a map m:
I'd like to sort that map by m's value. So, if I print the map, I'd like to get the result as follows:
How can I sort the map in this way? Is there any way that I can deal with the key and value with sorted values?
",47
2698854,C++ struct sorting,"

I have a vector of custom Struct that needs to be sorted on different criteria each time
Implementing operator < will allow only one criteria
But I want to be able to specify sorting criteria each time I call C++ standard sort.

How to do that?

Please note it is better to be efficient in running time..

Thanks
",1
2686548,Sorting eigenvectors by their eigenvalues (associated sorting),"
I have an unsorted vector of eigenvalues and a related matrix of eigenvectors. I'd like to sort the columns of the matrix with respect to the sorted set of eigenvalues. (e.g., if eigenvalue[3] moves to eigenvalue[2], I want column 3 of the eigenvector matrix to move over to column 2.)
I know I can sort the eigenvalues in O(N log N) via std::sort. Without rolling my own sorting algorithm, how do I make sure the matrix's columns (the associated eigenvectors) follow along with their eigenvalues as the latter are sorted?
",4
2639300,std::list or std::multimap,"
Hey, I right now have a list of a struct that I made, I sort this list everytime I add a new object, using the std::list sort method.
I want to know what would be faster, using a std::multimap for this or std::list,
since I'm iterating the whole list every frame (I am making a game).
I would like to hear your opinion, for what should I use for this incident.
",0
2554405,Sort a list of pointers,"
Once again I find myself failing at some really simple task in C++. Sometimes I wish I could de-learn all I know from OO in java, since my problems usually start by thinking like Java.
Anyways, I have a std::list<BaseObject*> that I want to sort. Let's say that BaseObject is:
I can sort the list of pointer to BaseObject with a comparator struct:
And it would look like this:
Until here, everything is a-ok. However, I introduced some derived classes:
So now I would like to sort following the following rules:

For any Child object c and BaseObject b, b<c
To compare BaseObject objects, use its ids, as before.
To compare Child objects, compare its vars. If they are equal, fallback to rule 2.
GrandChild objects should fallback to the Child behavior (rule 3).

I initially thought that I could probably do some casts in Comparator. However, this casts away constness. Then I thought that probably I could compare typeids, but then everything looked messy and it is not even correct.
How could I implement this sort, still using list<BaseObject*>::sort ?
Thank you
",6
2541608,Sorting a file with 55K rows and varying Columns,"
I want to find a programmatic solution using C++.
I have a 900 files each of 27MB size. (just to inform about the enormity ).
Each file has 55K rows and Varying columns. But the header indicates the columns
I want to sort the rows in an order w.r.t to a Column Value.
I wrote the sorting algorithm for this (definitely my newbie attempts, you may say).
This algorithm is working for few numbers, but fails for larger numbers. 
Here is the code for the same: 
basic functions I defined to use inside the main code: 
Now the main code: 
can some one suggest me a better way of doing this? 
why it is failing for larger values. ? 
The primary function of interest for this query is Sort2D function.
thanks for the time and patience. 
prasad.
",1
2529999,What sorting algorithm is this?,"
Update: OK I see it's a bubble sort, but is it less efficient because it doesn't stop when there's no swap on a particular run? It runs until first is null.
Hi, I have a sorting algorithm as follows. My question is, which sorting algorithm is this? I thought it was bubble sort, but it does not do multiple runs. Any idea?
Thanks!
",4
2494044,"Sorting a string array in C++ no matter of 'A' or 'a' and with å, ä ö?","
How do you sort an array of strings in C++ that will make this happen in this order:
mr Anka
Mr broWn
mr Ceaser
mR donK
mr ålish
Mr Ätt
mr önD
",5
2485899,C++ sort array of char pointers,"
Can you tell me what's wrong with my method? I ends up putting the same thing everywhre and it's actually not sorting.
",1
2465283,Sort objects and polymorphism,"
Suppose I have a class A.
And B and C are child of A.
Class A has a generic algorithm for sorting arrays of type A, so that I could use it for B and C without writing again the algorithm for each.
In the algorithm, sometimes I have to swap.
The problem is that I can only see the objects as type A, and if I do:
I think I have a problem. Because array[i], maybe its of type B, and aux is of type A, so I think I'm losing information.
I'm sure u understand this situation... how can I sort a generic array of objects using a father method algorithm?
Edit: The initial array it's static.
Edit2: So its imposible to have:
A::sort(A array[]);
And do what I want?, cannot swap.
The only way is having an array of references? A* array[]?
",1
2448671,Optimizing sorting container of objects with heap-allocated buffers - how to avoid hard-copying buffers?,"
I was making sure I knew how to do the op= and copy constructor correctly in order to sort() properly, so I wrote up a test case. After getting it to work, I realized that the op= was hard-copying all the data_.
I figure if I wanted to sort a container with this structure (its elements have heap allocated char buffer arrays), it'd be faster to just swap the pointers around. Is there a way to do that? Would I have to write my own sort/swap function?
",0
2448302,"container won't sort, test case included, (easy question?)","
I can't see what I'm doing wrong. I think it might be one of the Rule of Three methods. Codepad link
",0
2436705,"Defining < for STL sort algorithm - operator overload, functor or standalone function?","
I have a stl::list containing Widget class objects. They need to be sorted according to two members in the Widget class.
For the sorting to work, a less-than comparator comparing two Widget objects must be defined. There seems to be a myriad of ways to do it. From what I can gather, one can either:
a. Define a comparison operator overload in the class:
b. Define a standalone function taking two Widgets:
And then make the Widget class a friend of it:
c. Define a functor and then include it as a parameter when calling the sort function:
Does anybody know which method is better? In particular I am interested to know if I should do 1 or 2. I searched the book Effective STL by Scott Meyer but unfortunately it does not have anything to say about this.
Thank you for your reply.
",10
2432857,Sort list using STL sort function,"
I'm trying to sort a list (part of a class) in descending order containing items of a struct, but it doesn't compile:

error: no match for 'operator-' in '__last - __first'

And here's SortDescending: 
Can anyone tell me what's wrong?
",22
2400157,The intersection of two sorted arrays,"
Given two sorted arrays: A and B. The size of array A is La and the size of array B is Lb. How to find the intersection of A and B?
If La is much bigger than Lb, then will there be any difference for the intersection finding algorithm?
",14
2385690,Sorting only using the less-than operator compared to a trivalue compare function,"
In C++/STL sorting is done by using only the less-than operator. Altough I have no idea how the sorting algorithms are actually implemented, I assume that the other operations are created implicite:
Compared to using a trivalue* compare function, like for example Java, is this good for performance, or why was this design decision made?
My assumption is that any trivalue compareto function still has to implement these comparissons in itself, resulting in the same performance.
**by trivalue compare function, I mean a compare function which returns -1, 0 and 1 for less than, equal and higher than*
Update:
It seems a spaceship <=> operator are coming in C++20 so obviously the committee thought there were downsides of using only operator<. 
",9
2378856,sorting vectors based on size(),"
i have a 2-d vector like vector < vector < coordinates > > v( points); where coordinates class is:
and points is 20.
how to sort the individual vectors v[i] based on v[i].size() , ie based on number of coordinates objects pushed in v[i]. ???
",5
2346714,How can I sort a std::list with case sensitive elements?,"
This is my current code:
Does the sort() function sort the elements according to their character codes? I want the result here to be a b C after the sorting is done.
",3
2330350,C or C++. How to compare two strings given char * pointers?,"
I am sorting my array of car two ways. one by year which is shown below. and another one by make. Make is a char*   How do I compare strings when I just have pointers to them?
The above method works for int's (year). How can I make it work for char pointers?
",9
2319927,"How can I define a ""Do-Nothing"" sort?","
I'm working on a system where I need to be able to sort a vector by a given predicate, which my classes shouldn't have control over. Basically, I pass them a derived class and they blindly sort on it.
As one of the ""delightful quirks"", one of the sort patterns is order of entry.
Here's what I've got so far.
Obviously, as strategyA is reflexive, it can't be used, and if I set it to false, it'll treat everything as equal and I can kiss my data goodbye.
So here's my question. Is there a way of defining a predicate function for sorting a vector which will NOT change anything?
I'm aware that possibly the simplest solution is to add an order of entry variable to the Loan class, or partner it with one in a pair. Alternatively I could feed a parameter in with the predicate that tells the sorter whether to use it or not.
",5
