answer_id,answer_body,answer_vote,question_id
1434633,"
I see there are already a couple of solutions, but since I typed mine already, I want to post it anyway. This is a little working solution to give you an idea:
The output should be something like this
",1,1434343
1434431,"
You can something like this: The code is self explanatory:
",0,1434343
1412792,"
You could either initialize largest and second to an appropriate lower bound, or to the first two items in the list (check which one is bigger, and don't forget to check if the list has at least two items)
",20,1412751
1412779,"
using partial_sort ?
An Example:
",21,1412751
1412841,"
nth_element(begin, begin+n,end,Compare) places the element that would be nth (where ""first"" is ""0th"") if the range [begin, end) were sorted at position begin+n and makes sure that everything from [begin,begin+n) would appear before the nth element in the sorted list.  So the code you want is:
This will work well in your case, since you're only looking for the two largest.  Assuming your appropriateCompare sorts things from largest to smallest, the second largest element with be at position 1 and the largest will be at position 0. 
",7,1412751
1412782,"
Lets assume you mean to find the two largest unique values in the list.
If the list is already sorted, then just look at the second last element (or rather, iterate from the end looking for the second last value).
If the list is unsorted, then don't bother to sort it.  Sorting is at best O(n lg n).  Simple linear iteration is O(n), so just loop over the elements keeping track:
There are of course other criteria, and these could all be put into the test inside the loop.  However, should you mean that two elements that both have the same largest value should be found, you have to consider what happens should three or more elements all have this largest value, or if two or more elements have the second largest.
",2,1412751
1412839,"
The answer depends if you just want the values, or also iterators pointing at the values.
Minor modification of @will answer.
",1,1412751
1412889,"
The optimal algorithm shouldn't need more than 1.5 * N - 2 comparisons. (Once we've decided that it's O(n), what's the coefficient in front of N? 2 * N comparisons is less than optimal).
So, first determine the ""winner"" and the ""loser"" in each pair - that's 0.5 * N comparisons.
Then determine the largest element by comparing winners - that's another 0.5 * N - 1 comparisons.
Then determine the second-largest element by comparing the loser of the pair where the largest element came from against the winners of all other pairs - another 0.5 * N - 1 comparisons.
Total comparisons = 1.5 N - 2.
",1,1412751
1412773,"
Create a sublist from n..m, sort it descending. Then grab the first two elements. Delete these elements from the orginal list.
",0,1412751
1412811,"
You can scan the list in one pass and save the 1st and 2nd values, that has a O(n) efficiency while sorting is O(n log n).
EDIT:
I think that partial sort is O(n log k)
",0,1412751
1412892,"
Untested but fun:
",0,1412751
1412988,"
If the largest is the first element, search for the second largest in [largest+1,end). Otherwise search in [begin,largest) and [largest+1,end) and take the maximum of the two. Of course, this has O(2n), so it's not optimal. 
If you have random-access iterators, you could do as quick sort does and use the ever-elegant recursion: 
This has O(n) and shouldn't make more comparisons than NomeN's implementation.
",0,1412751
1479517,"
top k is usually a bit better than n(log k)
Of course the special_allocator can in essence be just an array of k multiset value_types and a list of those nodes (which typically has nothing on it as the other k are in use in the multiset until its time to put a new one in and we erase and then immediate ly reuse it. Good to have this or else the memory alloc/free in std::multiset and the cache line crap kills ya. Its a (very) tiny bit of work to give it static state without violating STL allocator rules.
Not as good as a specialized algo for exactly 2 but for fixed k<<n, I would GUESS (2n+delta*n) where delta is small - my DEK ACP vol3 S&S is packed away and an estimate on delta is a bit more work that I want to do.
average worst is I would guess n(log(k-1) + 2) when in opposite order and all distinct. 
best is 2n + k(log k) for the k best being the first
",0,1412751
1382361,"
From what I understand, you want list::sort to find the least node in the list which is greater than the input.
To do this, you need to iterate through all the elements and keep the current least-but-greater node found.
Something like this:
Now change your display function to use it like this:
This part keeps calling sort until sort returns NULL.  The first call to sort is with NULL so the lowest item is found (that is, the first in the sorted list).  sort returns NULL if there are no more nodes larger than current_node, thus terminating the loop.
",2,1382273
1382326,"
Before I even get to the question asked, I observe some problems you probably want to address:

Your nodes have two different kinds of next's, but only one kind of prev. Is that really what you want, and if so, which next is paired with the prev?
The method you have named sort doesn't sort, but acts as a comparison.
You don't appear to have implemented an actual sort (or at least you haven't exhibited it here).
There is no need for the repetitive setting of FirstName and SecondName back to NULL in sort. They are local variables and simple disappear when the method returns.
There is no need to do two strcmp's in sort. Either cache the result of the first one ( int cmp=strcmp(...);) or use aswitchon the value returned bystrcmp`.

To sort a double linked array I would I would suggest one of:

Using a standard container that supports std::sort if this is allowed (but I'm guessing that this is homework, so probably not). I believe that std::list qualifies.
Sorting at insertion time if the sort order will never change
Implementing a partition sort (i.e. quicksort), which will work very nicely on this kind of structure (but the usual example code is given on arrays, so you will have to understand what is being done and why before the right way to implement it on linked lists becomes apparent).

",4,1382273
1382413,"
Why isn't using std::list (the STL's doubly-linked list) and its associated sort function appropriate here? If you defined an operator< for your list items, it will Just Work and you won't have to write a whole bunch of code just to have a list and sort it.
",3,1382273
1382299,"
I wouldn't bother to write my own sort function. I'd just use qsort. Since it's interface is c and not c++, to use it you just build an array of object pointers, then call qsort on it with your own comparator function. Then rebuild the linked list from the newly sorted array of object pointers.
",2,1382273
1382397,"
If you are looking for an efficient in-place sort algorithm for linked lists, check out this one ... I've found it to be quite fast.
",0,1382273
1380496,"
A simple example using std::sort

Edit: As Kirill V. Lyadvinsky pointed out, instead of supplying a sort predicate, you can implement the operator< for MyStruct:
Using this method means you can simply sort the vector as follows:
Edit2: As Kappa suggests you can also sort the vector in the descending order by overloading a > operator and changing call of sort a bit: 
And you should call sort as:
",319,1380463
26295515,"
In the interest of coverage.  I put forward an implementation using lambda expressions.
C++11
C++14
",128,1380463
1380481,"
You could use functor as third argument of std::sort, or you could define operator< in your class.
",52,1380463
1380488,"
You are on the right track.  std::sort will use operator< as comparison function by default.  So in order to sort your objects, you will either have to overload bool operator<( const T&, const T& ) or provide a functor that does the comparison, much like this:
The advantage of the usage of a functor is that you can use a function with access to the class' private members.
",13,1380463
37334886,"
Sorting such a vector or any other applicable (mutable input iterator) range of custom objects of type X can be achieved using various methods, especially including the use of standard library algorithms like 

sort, 
stable_sort, 
partial_sort or
partial_sort_copy.

Since most of the techniques, to obtain relative ordering of X elements, have already been posted, I'll start by some notes on ""why"" and ""when"" to use the various approaches.
The ""best"" approach will depend on different factors:

Is sorting ranges of X objects a common or a rare task (will such ranges be sorted a mutiple different places in the program or by library users)?
Is the required sorting ""natural"" (expected) or are there multiple ways the type could be compared to itself?
Is performance an issue or should sorting ranges of X objects be foolproof?

If sorting ranges of X is a common task and the achieved sorting is to be expected (i.e. X just wraps a single fundamental value) then on would probably go for overloading operator< since it enables sorting without any fuzz (like correctly passing proper comparators) and repeatedly yields expected results.
If sorting is a common task or likely to be required in different contexts, but there are multiple criteria which can be used to sort X objects, I'd go for Functors (overloaded operator() functions of custom classes) or function pointers (i.e. one functor/function for lexical ordering and another one for natural ordering).
If sorting ranges of type X is uncommon or unlikely in other contexts I tend to use lambdas instead of cluttering any namespace with more functions or types.
This is especially true if the sorting is not ""clear"" or ""natural"" in some way. You can easily get the logic behind the ordering when looking at a lambda that is applied in-place whereas operator< is opague at first sight and you'd have to look the definition up to know what ordering logic will be applied.
Note however, that a single operator< definition is a single point of failure whereas multiple lambas are multiple points of failure and require a more caution.
If the definition of operator< isn't available where the sorting is done / the sort template is compiled, the compiler might be forced to make a function call when comparing objects, instead of inlining the ordering logic which might be a severe drawback (at least when link time optimization/code generation is not applied).
Ways to achieve comparability of class X in order to use standard library sorting algorithms
Let std::vector<X> vec_X; and std::vector<Y> vec_Y;
1. Overload T::operator<(T) or operator<(T, T) and use standard library templates that do not expect a comparison function.
Either overload member operator<:
or free operator<:
2. Use a function pointer with a custom comparison function as sorting function parameter.
3. Create a bool operator()(T, T) overload for a custom type which can be passed as comparison functor.
Those function object definitions can be written a little more generic using C++11 and templates:
which can be used to sort any type with member i supporting <.
4. Pass an anonymus closure (lambda) as comparison parameter to the sorting functions.
Where C++14 enables a even more generic lambda expression:
which could be wrapped in a macro
making ordinary comparator creation quite smooth:
",11,1380463
1380493,"
Yes, std::sort() with third parameter (function or object) would be easier. An example: 
http://www.cplusplus.com/reference/algorithm/sort/
",4,1380463
1380487,"
In your class, you may overload the ""<"" operator.
",3,1380463
36736713,"
Below is the code using lambdas
#include ""stdafx.h""
#include <vector>
#include <algorithm>

using namespace std;

struct MyStruct
{
    int key;
    std::string stringValue;

    MyStruct(int k, const std::string& s) : key(k), stringValue(s) {}
};

int main()
{
    std::vector < MyStruct > vec;

    vec.push_back(MyStruct(4, ""test""));
    vec.push_back(MyStruct(3, ""a""));
    vec.push_back(MyStruct(2, ""is""));
    vec.push_back(MyStruct(1, ""this""));

    std::sort(vec.begin(), vec.end(), 
        [] (const MyStruct& struct1, const MyStruct& struct2)
        {
            return (struct1.key < struct2.key);
        }
    );
    return 0;
}

",2,1380463
50040873,"
I was curious if there is any measurable impact on performance between the various ways one can call std::sort, so I've created this simple test:
What it does is it creates a random vector, and then measures how much time is required to copy it and sort the copy of it (and compute some checksum to avoid too vigorous dead code elimination).
I was compiling with g++ (GCC) 7.2.1 20170829 (Red Hat 7.2.1-1)
Here are results:
Looks like all the options except for passing function pointer are very similar, and passing a function pointer causes +30% penalty. 
It also looks like the operator< version is ~1% slower (I repeated the test multiple times and the effect persists), which is a bit strange as it suggests that the generated code is different (I lack skill to analyze --save-temps output).
",2,1380463
20763862,"
",1,1380463
45567530,"
You can use user defined comparator class.
",1,1380463
38730028,"
To sort a vector you can use the sort() algorithm in .
The third parameter used can be greater or less or any function or object can also be used. However the default operator is < if you leave third parameter empty.
",0,1380463
45992778,"
if compare is false, it will do ""swap"".
",0,1380463
1367494,"
Maps are stored as a tree sorted in key order. You want the 10 smallest (or largest) integer values, and their keys, right?
In that case, iterate the map and put all the key-value pairs in a vector of pairs (std::vector<std::pair<std::string, int> >). I think you can just use the two-iterator-arg constructor of std::vector for this. Then use std::partial_sort on the vector. Specify a comparator to partial_sort, which compares pairs by just comparing the value int, ignoring the key string. Then you have the 10 pairs you want at the start of the vector, and the rest of the vector contains the remaining pairs in an unspecified order.
Code (untested):
Note that if there are several strings with the same value, either side of the limit of 10, then it's not specified which ones you get. You can control this by having your comparator look at the string too, in cases where the integers are equal.
",25,1367429
1367490,"
For iterating by value you could use boost::multi_index. It will looks as follows:
You could use any index for iteration ( val_str or val_int ).
",7,1367429
1367609,"
May not be the most elegant way, but you can sort them via value in a set as:

#include <map>
#include <set>
#include <iostream>
#include <string>

using namespace std;

struct sortPairSecond
{
   bool operator()(const pair<string, int> &lhs;, const pair<string, int> &rhs;)
   {
       return lhs.second < rhs.second;
   }
};


int main (int argc, char *argv[])
{
    cout << ""Started...\n"";
    map<string, int> myMap;
    myMap[""One""]   = 1;
    myMap[""Ten""]   = 10;
    myMap[""Five""]  = 5;
    myMap[""Zero""]  = 0;
    myMap[""Eight""] = 8;


    cout << ""Map Order:\n---------------\n"";
    set<pair<string,int>, sortPairSecond > mySet;
    for(map<string, int>::const_iterator it = myMap.begin(); it != myMap.end(); ++it)
    {
        cout << it->first << "" = "" << it->second << ""\n"";
        mySet.insert(*it);
    }

    cout << ""\nSet Order:\n--------------\n"";
    for(set<pair<string, int> >::const_iterator it = mySet.begin(); it != mySet.end(); ++it)
    {
        cout << it->first << "" = "" << it->second << ""\n"";
    }

    return 1;
}



",1,1367429
1367480,"
If you iterate using the map iterator, you will get the items sorted on key as it internally uses balanced binary tree to store the values. So you could just extract the 10 values from it using the iterators. Is that what you want or you want to do something else? Please clarify.
EDIT:
Instead of using the vector and sorting, you can directly use set and pass the comparison function. Then you can extract the top 10 elements. This is my test code:
",1,1367429
1367748,"
Another possibility is to build a reverse map. For you that would be std::map<int, std::string>. Entries in the reverse map are sorted by their value. 
The following is what I have in my tool box for such occasions: 
This code assumes that values are unique, too (and throws an assertion, if this is not the case). If this doesn't apply to your problem, you could easily change the code to use a multi map.
",1,1367429
1300346,"
Integer obj2() isn't the definition of an object, it is the declaration of a function named obj2 returning an Integer (put it outside any function to understand why it is so).  This occurs also sometimes with more complex constructions where it can be even more confusing. Some name this the most vexing parse.
Here is the promised example of a more complex case:
Here quxx is a function returning a Bar and taking (a pointer) to a function returning a Foo and without parameters.  You could write the same declaration more clearly like this:
To get the definition of a variable initialized with the constructor taking a Foo, you can add a level of parenthesis:
",15,1300327
1300364,"
Because obj2 is a function. See this
",3,1300327
1300398,"
obj2 is not a BinaryPredicate and is invalid as the third parameter to std::sort
obj2 needs to be something like 
or the functor type used by obj1.
",1,1300327
1300443,"
There is no definition of no argument constructor.
Use, Integer obj2(0);
",1,1300327
1300436,"
class Integer
{
public:
    int m;
    Integer(int a):m(a){};
};
class CompareParts 
{
public:
    bool operator()(const Integer & p1,const Integer & p2)
    {
        return p1.m
    }
};
int main()
{
    std::vector vecInteger;   
    vecInteger.push_back(Integer(12)); 
    vecInteger.push_back(Integer(13)); 
    vecInteger.push_back(Integer(5));  
    vecInteger.push_back(Integer(7));  
    vecInteger.push_back(Integer(9));  
}
Output:
5 7 9 12 13
",0,1300327
1292745,"
Since you say you're not familiar with vectors (you really should learn STL containers ASAP, though), I assume you're playing with arrays. Something along these lines:
The third optional argument f of stable_sort is a function object - that is, anything which can be called like a function by following it with parentheses - f(a, b). A function (or rather a pointer to one) is a function object; other kinds include classes with overloaded operator(), but for your purposes a plain function would probably do.
Now you have your data type with int field on which you want to sort, and some additional data:
To sort this (or anything, really), stable_sort needs to have some way of comparing any two elements to see which one is greater. By default it simply uses operator < to compare; if the element type supports it directly, that is. Obviously, int does; it is also possible to overload operator< for your struct, and it will be picked up as well, but you asked about a different approach.
This is what the third argument is for - when it is provided, stable_sort calls it every time it needs to make a comparison, passing two elements as the arguments to the call. The called function (or function object, in general) must return true if first argument is less than second for the purpose of sorting, or false if it is greater or equal - in other words, it must work like operator < itself does (except that you define the way you want things to be compared). For foo, you just want to compare n, and leave the rest alone. So:
And now you use it by passing the pointer to this function (represented simply by its name) to stable_sort:
",4,1292511
1292544,"
You need to pass the comparison function. Something like this:
Inside the sort algorithm, to compare the values the comparison function passed by you is used. If you have a more complex data structure and want to sort on a particular attribute of the data structure then you can use this user-defined function to compare the values.
",3,1292511
1292556,"
I believe you are talking about this function:
And the function call:
The function compare_as_ints is a normal function but this is being passed to the stable_sort as a function pointer. i.e., the address of the function is being passed which would be used by stable_sort internally to compare the values.
Look at this function pointer tutorial if you are unclear about this.
",2,1292511
1271587,"
I think you're severely overcomplicating your solution. You can implement radix using the single array received in the input, with the buckets in each step represented by an array of indices that mark the starting index of each bucket in the input array.
In fact, you could even do it recursively:
Of course buckets[i+1] - buckets[i] will cause a buffer overflow when i is 9, but I omitted the extra check or readability's sake; I trust you know how to handle that.
With that, you just have to call radixSort(testcases, sizeof(testcases) / sizeof(testcases[0]), 0) and your array should be sorted.
",11,1271367
40457313,"
To speed up the process with better memory management, create a matrix for the counts that get converted into indices by making a single pass over the array. Allocate a second temp array the same size as the original array, and radix sort between the two arrays until the array is sorted. If an odd number of radix sort passes is performed, then the temp array will need to be copied back to the original array at the end.
To further speed up the process, use base 256 instead of base 10 for the radix sort. This only takes 1 scan pass to create the matrix and 4 radix sort passes to do the sort. Example code:
",2,1271367
1271954,"
Since your values are ints in the range of 0 ... 1,000,000
You can create a int array of of size 1,000,001, and do the whole thing in two passes
Init the second array to all zeros.
Make a pass through your input array, and use the value as a subscript
to increment the value in the second array.
Once you do that then the second pass is easy.
walk through the second array, and each element tells you how many times that
number appeared in the original array.   Use that information to repopulate
your input array.
",0,1271367
1248835,"
If you're after an algorithm for that type of sorting (where the data can't all fit into core at once), my solution comes from the very earliest days of the ""revolution"" when top-end machines had less memory than most modern-day calculators.
I haven't worked out the big-O properties but I think it would be O(n) reads, O(n log n) sort phase (depends on the sort method chosen) and O(n) writes.
Let's say your data set has one million elements and you can only fit 100,000 in memory at a time. Here's what I'd do:

read in the first 100,000, sort them and write that sorted list back out.
do this for each group of 100,000.
run a merge operation on the 10 groups.

In other words, once your 10 groups are sorted within the group, grab the first entry from each group.
Then write that the lowest of those 10 (which is the lowest of the whole million) to the output file and read the next one from that group in its place.
Then just continue selecting the lowest of the 10, writing it out and replacing it from the same group. In that way, the final output is the entire sorted list of a million entries.
",4,1248774
1248819,"
Check out external merge sort algorithm.
",3,1248774
1248786,"
Try this page: Sorting Algorithms. Besides showing nice animations of several algorithms it explains how they work and their complexity.
",2,1248774
1242724,"
If you want to avoid swapping overhead, you could try Selection Sort. This sorting algorithm will find a value and immediatly put it into the right place performing only one swap, thus, I believe, doing the minimal number of swaps as possible.
",1,1238191
1238219,"
In the above you should really be using std::vectors, not arrays. I can't imagine why you can't return a (const) vector of pointers, but if that is the case, work with a vector of pointers, sorting only the pointers and then when sorted, copy the resulting sorted structures into another vector and return that, which will mean only one copy per vector entry.
",0,1238191
1685224,"
You could put it into a std::list and then define the comparison function for the sort. It should only swap the pointers to each node and not the structures.  Swaping of pointers is a quick 2 or 3 op function.
",0,1238191
1230477,"
You're working with a const vector, which cannot be sorted. (Or changed).
This is because your function is const:
Remove the const so members of your class can be modified (and therefore sorted).
",4,1230428
1230437,"
The following code compiles under g++ 4.4.0:
Please test it with your compiler. In general, it would be helpful if you and others posted small complete programs like this which can be easily tested, and which illustrate the problem (or lack of them, in this case).
",3,1230428
1230472,"
The code above compiles fine, it looks like you have an assignment problem when trying to assign something to a const Edge.
You don't need to define an assignment operator but you can't assign something to a const Edge.
",0,1230428
1230567,"
The printGraph function is declared as a const member function of Graph but you're trying to modify a member variable (the edges vector). Remove the const from the printGraph declaration and the code will compile. 
Alternatively make a local copy of the edges vector and sort that before printing it out, since the comments state this function is only for debugging performance shouldn't be a major concern. It's a little misleading for a function called printGraph to be modifying the edges vector anyway.
",0,1230428
1230480,"
It looks to me like you're calling std::sort with a std::vector<Edge>::const_iterator instead of a std::vector<Edge>::iterator, probably in graph.cpp line 107.
After seeing the code: The iterators are indeed constant. edges is a member variable of Graph and printGraph is a const method. Therefore edges can't be modified inside of printGraph because the Graph object can't be modified by a const method. Sorting edges would modify it, so it leads to a compiler error.
",0,1230428
1208858,"
Sorting to get a median is very inefficient. You could use STL nth_element instead:
Note: the nth_element will modify the vector/array v. Make a copy first if you need to preserve the original.
",19,1208766
1208820,"
Please please please never recommend bubble sort except to masochists!
For small values, insertion sort is best, and its good for other applications (nearly sorted data of any length).
Edit: cleaned up formatting, emphasizing suggested answer.
",9,1208766
1208808,"
Only 9 values? Quicksort is overkill.
Perhaps use insertion sort, bubble sort or other simpler sorting algorithms when working with smaller datasets.
Performance
Bubble sort has worst-case and average complexity both О(n²), where n is the number of items being sorted. There exist many sorting algorithms with the substantially better worst-case or average complexity of O(n log n). Even other О(n²) sorting algorithms, such as insertion sort, tend to have better performance than bubble sort. Therefore bubble sort is not a practical sorting algorithm when n is large.
However, granted, you did not even have to sort to get the median as others have suggested.
",5,1208766
1208804,"

As onebyone mentioned there is no need to sort completely to get a median.
STL has sort algorithm which usually can perform comparison inlining. It also has smarter algorithm than guaranteed by qsort, with worstcase of O(NlgN).

",4,1208766
1208809,"
Using quicksort for only 9 values is going to be rather inefficient. For such a small sample size, you're much better off utilizing a selection sort or replacement sort... there is very little overhead in these sorting methods.
Quicksort and Mergesort really shine once your sample size reaches a threshold, perhaps 50+. 
In these situations, I'd write my own code rather than use a built-in function.
",4,1208766
1208905,"
The std::sort() algorithm is almost always preferable to qsort().  It's typically easier to use and runs faster.
If you want to get into detail, there's actually a family of sorting algorithms.  Stroustrup writes in The C++ Programming Language that std::sort is often not the exact right thing to use.  In this case, std::nth_element() is probably what you want.
",4,1208766
1208825,"
You don't have enough values to work with Quicksort and you should use less advanced algorithms (ex: Bubble sort, Insertion sort, ... explanation here.
There is a cost associated to Quicksort's setup and when you don't have enough values, it's useless to use this beast.
",2,1208766
1208803,"
Insertion Sort.. 
On small datasets you can use different algorithms to get optimal performance. QuickSort shines once the dataset grows. 
There are different approaches. You can use data structures where you sort on insert, and there are onces where you sort the complete dataset. You just need to find your optimal algorithm. 
",1,1208766
1196054,"
Boost Multi-Index supports sorting anything you want and supports changing the fields the list gets oderdered by, although you can't just type a1.x=1 anymore, instead, you have to use MultiIndex::replace().
I can't think of a faster/more natural way of doing this, as deleting and reinserting the element would've to be done anyway.
",6,1196000
1196053,"
I would consider using a sorted std::vector instead.  At one of those points where you predictably modify x for one of the set's members, then just re-sort the vector.  It's a little cleaner than having to remove and reinsert items.  This might be too much overhead though if you're frequently modifying a single set member's property and re-sorting.  It would be much more useful if you're likely to be changing many of these properties at once.
",1,1196000
1200388,"
As others pointed out, using a std::set or std::multiset just does not cut it.
You probably did not notice since you use pointers, but the assumption is that objects are immutable (though in this case it means that the pointers are const, but not the pointed value).
Therefore, you cannot use (directly) a standard container which will do your book-keeping automatically.
At this point you have several solutions:

you may use a library, in this case the Boost.MultiIndex comes to mind, even though you will have to learn to use it
or you may wrap a standard container in a dedicated class (for example, your set)

I think both are equally valid. Since the operation is very simple you may not want to use the Boost library for this yet (learning curve, integration, ...).
Also, you may consider using 'invasive' containers. What I mean is that you could use the 'Observer' pattern here >> your object can notify its container each time its value change, so that the container reposition it at its 'new' correct position (using a std::multiset internally).
If efficiency is a concern, I would not consider sorting a vector. Sorting a full container each time a single object change is a waste, your erase/insert method is much more efficient.
",1,1196000
1171390,"
Ordered insertion doesn't need boost:
upper_bound provides a valid insertion point provided that the vector is sorted to start with, so as long as you only ever insert elements in their correct place, you're done. I originally said lower_bound, but if the vector contains multiple equal elements, then upper_bound selects the insertion point which requires less work.
This does have to copy O(n) elements, but you say insertion sort is ""blindingly fast"", and this is faster. If it's not fast enough, you have to find a way to add items in batches and validate at the end, or else give up on contiguous storage and switch to a container which maintains order, such as set or multiset.
A heap does not maintain order in the underlying container, but is good for a priority queue or similar, because it makes removal of the maximum element fast. You say you want to maintain the vector in order, but if you never actually iterate over the whole collection in order then you might not need it to be fully ordered, and that's when a heap is useful.
",10,1171365
1171495,"
According to item 23 of Meyers' Effective STL, you should use a sorted vector if you application use its data structures in 3 phases. From the book, they are : 


Setup. Create a new data structure by inserting lots of elements into it. During this phase, almost all operation are insertions and erasure. Lookups are rare on nonexistent
Lookup. Consult the data structure to find specific pieces of information. During this phase, almost all operations are lookups. Insertion and erasures are rare or nonexistent. There are so many lookups, the performance of this phase makes the performance of the other phases incidental.
Reorganize. Modify the content of the data structure. perhaps by erasing all the current data and inserting new data in its place. Behaviorally, this phase is equivalent to phase 1. Once this phase is completed, the application return to phase 2


If your use of your data structure resembles this, you should use a sorted vector, and then use a binary_search as mentionned. If not, a typical associative container should do it, that means a set, multi-set, map or multimap as those structure  are ordered by default
",6,1171365
1171375,"
Why not just use a binary search to find where to insert the new element? Then you will insert exactly into the required position.
",3,1171365
